name,barnaba,clarna,dssr,fred,maxit,metbp,mc,rnapolis,rnaview
1A9N_1_Q,6,6,6,6,6,6,6,6,6
1B23_1_R,30,24,26,22,19,20,25,27,24
1B7F_1_P,1,0,0,1,0,0,0,2,0
1B7F_1_Q,1,1,0,1,0,0,1,1,0
1CSL_1_B-A,12,11,12,11,11,11,11,11,10
1D4R_1_B-A,26,22,24,21,18,22,25,24,24
1DFU_1_M-N,17,13,14,13,13,13,16,15,14
1DQF_1_B-A,9,9,9,9,9,9,9,9,9
1DQH_1_B-A,9,9,9,9,9,9,9,9,9
1DUH_1_A,1,0,0,0,0,0,0,1,0
1DUQ_1_B-A,12,12,12,12,12,12,12,12,11
1E7K_1_C,10,7,7,7,6,7,7,8,7
1EC6_1_C,6,6,6,5,4,5,6,6,4
1EC6_1_D,5,4,5,4,4,4,4,5,4
1ET4_1_A,19,13,13,11,9,12,14,14,11
1F1T_1_A,17,14,14,13,10,13,13,15,13
1F27_1_A,5,5,5,5,5,5,5,5,5
1F7U_1_B,23,21,23,21,19,21,20,23,20
1FEU_1_C-B,17,14,16,14,14,14,16,16,15
1FUF_1_A-B,13,12,12,12,10,12,12,12,12
1FXL_1_B,1,1,0,1,0,0,1,0,0
1G1X_1_D-E,39,35,36,31,32,32,33,34,32
1G1X_1_J-I,37,34,36,30,30,30,33,34,33
1G2E_1_B,1,1,0,1,0,0,1,0,0
1GAX_1_D,35,28,31,28,25,27,26,31,27
1H3E_1_B,38,32,37,31,29,31,29,36,31
1H4S_1_T,30,25,29,25,23,25,27,29,23
1HMH_1_A,9,8,8,8,7,9,7,9,8
1HMH_1_E,9,8,8,7,6,7,7,10,8
1HYS_1_E,0,0,0,0,0,0,0,1,0
1I6U_1_C,23,18,18,19,15,17,16,17,17
1I9X_1_A-B,13,12,13,12,12,12,12,12,12
1ICG_1_A-B,8,6,8,8,6,6,8,6,6
1IHA_1_A-B,8,6,8,8,6,6,8,6,6
1IL2_1_C,31,28,29,27,22,27,27,30,26
1J1U_1_B,37,31,34,31,26,30,32,36,29
1J9H_1_A-B,8,8,9,8,6,8,8,8,8
1JBR_1_C-F,14,13,14,13,11,12,13,14,12
1JID_1_B,10,10,10,10,8,10,10,10,10
1JZV_1_B-A,6,6,6,6,6,6,6,7,6
1KD4_1_A-B,9,8,8,10,8,8,8,8,8
1KD5_1_A-B,10,10,9,10,8,8,9,10,8
1KH6_1_A,17,16,17,13,11,16,13,16,16
1KUQ_1_B,29,23,26,23,21,22,23,22,22
1KXK_1_A,30,28,30,27,26,29,27,28,28
1L2X_1_A,16,13,13,13,8,13,11,13,13
1L9A_1_B,74,55,59,41,43,44,49,53,55
1LNT_1_A-B,11,11,9,10,8,8,9,11,11
1M5K_1_B,40,25,30,24,21,26,26,27,24
1M8V_1_P,0,0,0,0,0,0,0,1,0
1MFQ_1_A,68,53,58,48,41,48,47,57,57
1MHK_1_L-S,10,10,9,8,7,7,8,9,9
1MJI_1_D,17,15,16,15,10,15,13,14,12
1MMS_1_C,31,23,27,24,19,25,24,33,21
1MZP_1_B,30,25,25,22,19,24,23,24,24
1N32_1_Y-Z,9,6,7,5,6,6,3,8,6
1N35_1_C-B,7,4,5,5,4,5,3,5,3
1N38_1_C-B,3,2,2,2,2,2,2,2,2
1N78_1_C,44,31,34,30,26,30,31,34,29
1NTA_1_A-B,22,15,17,15,13,15,14,18,14
1NUV_1_A-B,9,9,9,8,8,8,9,9,9
1NUV_1_E-F,9,9,9,8,8,8,9,9,9
1OOA_1_C,13,10,12,8,10,10,9,11,11
1Q96_1_A,13,12,12,12,10,11,12,13,12
1QBP_1_A-B,11,9,10,9,8,8,10,8,8
1QC0_1_B-A,9,9,9,9,9,9,9,9,9
1QC0_1_C-D,19,19,19,18,18,19,18,19,19
1QCU_1_A-B,11,11,11,11,11,0,11,11,11
1QCU_1_C-D,11,11,11,11,11,0,11,11,11
1QF6_1_B,32,28,29,28,24,28,28,30,25
1QTQ_1_B,38,29,33,30,22,27,27,35,28
1QU2_1_T,34,32,33,32,26,31,30,34,30
1R3E_1_C,6,6,6,6,6,6,6,7,6
1R3E_1_D-E,14,14,14,14,14,14,14,15,14
1RLG_1_D,10,8,8,8,8,8,7,8,9
1RNA_1_A-B,14,14,14,14,14,14,14,14,14
1RPU_1_C-D,20,20,19,18,19,18,18,0,18
1S03_1_A,25,20,22,21,18,18,18,20,19
1S03_1_B,26,20,23,21,18,18,21,20,20
1S76_1_R,1,0,0,0,0,0,0,0,0
1SA9_1_C-D,8,8,8,7,7,7,8,8,8
1SAQ_1_A-B,6,5,8,6,8,8,6,8,8
1SDR_1_A-B,12,12,12,12,12,12,12,12,12
1SDS_1_D,1,0,0,0,0,0,0,1,0
1SER_1_T,28,21,25,19,22,21,23,27,23
1T0E_1_A-C,15,16,15,14,15,15,15,14,15
1TFW_1_G-J,11,9,11,10,10,9,9,10,10
1TFW_1_H-E,10,10,10,10,10,10,10,10,10
1U0B_1_A,36,28,32,29,24,28,31,33,31
1U1Y_1_R,6,6,6,6,6,6,6,6,6
1U9S_1_A,97,68,77,65,53,68,61,72,60
1UVN_1_F,0,0,0,0,0,0,0,1,0
1WNE_1_B-C,7,4,5,4,4,4,4,4,4
1WPU_1_C,0,1,0,0,0,0,0,0,1
1XJR_1_A,24,22,22,20,17,20,20,22,22
1XOK_1_A,7,7,7,7,7,7,7,7,6
1Y26_1_X,42,33,36,33,27,33,32,34,31
1Y27_1_X,40,32,34,33,24,32,32,33,29
1YFG_1_A,30,21,25,22,21,21,21,24,20
1YLS_1_B,11,10,10,9,8,8,8,11,9
1YTU_1_E-F,4,3,4,3,3,3,3,4,4
1YVP_1_C-D,5,6,5,4,5,4,5,5,5
1YYK_1_C-D,12,12,12,12,12,12,12,12,12
1YYW_1_I-J,12,12,12,12,12,12,12,12,12
1YZ9_1_C-D-E-F,20,20,20,18,18,18,20,18,18
1YZD_1_A-B,14,14,14,14,14,14,14,14,14
1Z7F_1_B-C,16,16,16,16,14,16,16,16,16
1ZBH_1_F,7,6,6,6,5,6,6,7,6
1ZCI_1_A-B,18,18,18,18,18,18,18,18,18
1ZDJ_1_R,2,2,2,2,2,2,2,2,2
1ZH5_1_C-D,5,4,5,4,4,4,4,4,4
1ZL3_1_B,8,8,8,8,8,8,8,9,8
1ZX7_1_C-E-D-F,27,24,25,24,23,24,24,25,25
1ZZ5_1_A-C-B-D,25,23,25,22,22,23,21,24,23
205D_1_A-B,14,12,12,12,12,12,12,13,12
246D_1_A-B,8,5,8,8,8,8,8,8,8
280D_1_A-B,13,12,12,12,12,12,12,12,12
2A0P_1_A-B,6,6,6,6,6,6,6,6,6
2A43_1_A,14,12,12,12,7,12,10,14,12
2AKE_1_B,39,23,29,20,16,21,18,29,23
2ANN_1_B,6,5,6,5,5,5,6,6,5
2AO5_1_C-D,8,8,8,8,8,8,8,8,8
2ASB_1_B,0,1,0,0,0,1,0,2,0
2ATW_1_B,0,0,0,0,0,1,0,1,0
2AZ0_1_C-D,12,12,12,12,12,12,12,12,12
2AZX_1_D,33,29,31,28,21,27,25,33,29
2B3J_1_E,5,5,5,4,4,4,5,5,5
2B3J_1_G,2,1,0,1,0,1,1,1,0
2BBV_1_N,2,0,0,0,0,0,0,0,0
2BGG_1_P-Q,5,5,5,5,5,5,5,5,5
2BH2_1_D,7,6,7,5,5,6,5,8,6
2BTE_1_B,41,32,35,32,27,32,30,38,31
2C4Q_1_R,6,6,6,6,6,6,6,6,6
2CSX_1_C,39,27,31,27,22,27,27,33,28
2DLC_1_Y,22,20,21,20,17,19,15,19,18
2DRA_1_B,13,13,13,13,13,13,13,14,13
2DU3_1_D,37,26,31,23,24,26,23,30,26
2E9R_1_A-B,6,6,6,6,5,6,6,6,6
2E9T_1_B-C,7,6,7,6,6,6,6,7,6
2E9Z_1_B-C,7,5,7,3,4,5,5,5,7
2EC0_1_B-C,7,7,7,7,7,7,7,7,7
2ET8_1_A-B,20,18,18,17,17,17,18,18,17
2F8K_1_B,7,6,7,6,6,6,6,7,5
2F8S_1_C-D,25,18,19,18,16,15,16,17,18
2G3S_1_I-J,8,8,8,8,8,8,8,8,8
2G91_1_A-B,6,6,6,6,6,6,6,6,6
2G92_1_A-B,10,10,10,10,10,10,9,10,10
2GIC_1_R,2,0,0,0,0,0,0,1,0
2GJW_1_I-J-L,22,15,18,13,10,14,10,15,13
2GXB_1_E-F,6,5,6,6,6,6,6,6,0
2H1M_1_A-B,14,14,14,12,12,12,12,14,12
2HVY_1_E,25,20,22,18,20,21,20,21,19
2HW8_1_B,17,16,15,15,13,15,13,17,14
2I82_1_F,8,6,8,7,7,7,8,7,6
2I91_1_F-E,7,7,7,7,6,7,7,8,7
2IZN_1_R,5,5,5,5,5,5,5,6,5
2JLT_1_A,6,5,5,5,5,5,5,5,5
2NUE_1_C,22,21,22,21,21,21,21,22,22
2NUG_1_E-F-C-D,20,20,20,20,20,20,20,16,20
2O3V_1_A-B,18,18,18,17,16,18,17,17,18
2O3X_1_A-B,18,17,17,17,17,17,17,17,17
2O3Y_1_A-B,18,18,19,17,16,18,18,17,19
2OE5_1_B-A,15,14,15,14,13,14,13,13,15
2OE8_1_B-A,15,14,15,14,13,14,13,13,15
2OEU_1_A,12,9,9,8,8,9,9,10,5
2OIU_1_P,32,28,31,26,24,25,25,29,28
2OIU_1_Q,31,30,31,28,27,28,26,31,30
2OZB_1_C,15,12,12,11,12,12,12,13,12
2P7E_1_D-C-P,19,17,18,14,15,16,18,19,15
2PJP_1_B,10,10,10,10,10,10,10,12,9
2PN3_1_A-B,19,16,17,15,16,16,15,17,16
2PY9_1_F,0,0,0,0,0,0,0,2,0
2Q1O_1_C-D,10,10,10,10,10,10,10,10,10
2QUS_1_A,33,24,32,24,22,25,26,27,21
2QUW_1_B,20,16,18,15,12,15,15,17,10
2QUX_1_F,9,9,9,9,9,9,9,9,9
2QWY_1_C,34,26,27,21,15,22,22,23,22
2R1S_1_A-B,11,11,11,11,11,11,11,11,10
2R8S_1_R,80,68,70,68,54,65,62,66,65
2RFK_1_E-D-F,31,25,27,21,24,23,22,26,26
2UWM_1_D,10,10,10,10,10,10,10,10,10
2UXC_1_X-Y,4,3,3,2,3,3,3,3,3
2V6W_1_A-B,7,7,7,7,7,7,7,7,7
2V7R_1_A-B,7,7,7,7,7,7,7,7,7
2VAL_1_A-C,7,7,7,7,7,7,7,7,7
2VPL_1_B,22,18,18,19,16,18,16,19,19
2VUQ_1_A-B,7,7,7,7,7,7,7,7,7
2W89_1_A-B,7,7,7,7,7,7,6,7,7
2XBM_1_E-F,6,3,6,2,2,4,5,5,4
2XDB_1_G,14,10,12,10,8,10,10,11,9
2XLK_1_C,6,5,6,6,6,6,6,6,6
2XS2_1_B,1,1,0,1,0,0,1,1,1
2XS5_1_D,1,1,0,1,0,1,1,1,1
2XS7_1_B,1,1,0,1,0,1,1,1,1
2XSL_1_C-D,7,7,7,7,7,7,7,7,7
2XZL_1_B,1,1,0,1,0,1,1,1,1
2Y8W_1_B,7,6,6,6,6,6,6,6,6
2Y8Y_1_B,7,5,6,6,6,6,6,6,6
2Y9H_1_F,7,6,7,7,7,7,7,7,7
2Y9H_1_H,8,6,7,7,7,7,7,7,7
2Y9H_1_J,7,6,7,5,5,5,6,5,5
2Y9H_1_N,7,5,7,7,7,7,7,8,7
2Z75_1_B,62,46,48,41,38,46,44,49,45
2ZI0_1_C-D,18,18,18,18,18,18,18,18,18
2ZKO_1_C-D,19,18,19,18,18,18,19,19,18
2ZUE_1_B,30,29,32,29,26,28,28,32,28
2ZY6_1_A,16,12,12,11,10,12,14,14,12
2ZZM_1_B,39,29,36,25,23,28,30,39,30
2ZZN_1_D,35,27,31,29,23,26,27,31,26
315D_1_A-B,8,5,8,8,8,8,8,8,8
332D_1_A-B,6,3,6,6,6,6,6,6,6
353D_1_A-B,12,11,12,11,11,11,11,12,12
354D_1_A-B,10,6,8,7,7,7,10,9,8
359D_1_B-A,21,16,18,16,12,14,17,18,16
361D_1_A,10,5,8,4,5,6,7,8,7
361D_1_B,12,5,8,5,6,7,7,9,8
364D_1_C-B-A,31,25,29,22,23,23,25,26,26
