molecule,inf_mean,matrix_perc [%]
1A9N_1_Q,1.0,100.0
1B23_1_R,0.96,100.0
1CSL_1_B-A,1.0,100.0
1D4R_1_B-A,1.0,100.0
1DFU_1_M-N,0.99,100.0
1DQF_1_B-A,1.0,100.0
1DQH_1_B-A,1.0,100.0
1DUQ_1_B-A,1.0,100.0
1E7K_1_C,0.98,100.0
1EC6_1_C,1.0,100.0
1EC6_1_D,1.0,100.0
1ET4_1_A,0.97,100.0
1F1T_1_A,1.0,100.0
1F27_1_A,1.0,100.0
1F7U_1_B,0.99,100.0
1FEU_1_C-B,0.99,100.0
1FUF_1_A-B,1.0,100.0
1G1X_1_D-E,0.97,100.0
1G1X_1_J-I,0.94,100.0
1GAX_1_D,0.95,100.0
1H3E_1_B,0.93,100.0
1H4S_1_T,0.99,100.0
1HMH_1_A,1.0,100.0
1HMH_1_E,1.0,100.0
1I6U_1_C,1.0,100.0
1I9X_1_A-B,1.0,100.0
1ICG_1_A-B,1.0,100.0
1IHA_1_A-B,1.0,100.0
1IL2_1_C,0.98,100.0
1J1U_1_B,0.99,100.0
1J9H_1_A-B,1.0,100.0
1JBR_1_C-F,1.0,100.0
1JID_1_B,1.0,100.0
1JZV_1_B-A,1.0,100.0
1KD4_1_A-B,1.0,100.0
1KD5_1_A-B,1.0,100.0
1KH6_1_A,0.94,100.0
1KUQ_1_B,0.99,100.0
1KXK_1_A,0.98,100.0
1L2X_1_A,1.0,100.0
1L9A_1_B,0.96,100.0
1LNT_1_A-B,1.0,100.0
1M5K_1_B,0.94,100.0
1MFQ_1_A,0.96,100.0
1MHK_1_L-S,1.0,100.0
1MJI_1_D,0.99,100.0
1MMS_1_C,0.99,100.0
1MZP_1_B,0.99,100.0
1N32_1_Y-Z,0.85,100.0
1N35_1_C-B,0.79,100.0
1N38_1_C-B,1.0,100.0
1N78_1_C,0.99,100.0
1NTA_1_A-B,0.96,100.0
1NUV_1_A-B,1.0,100.0
1NUV_1_E-F,1.0,100.0
1OOA_1_C,0.91,100.0
1Q96_1_A,1.0,100.0
1QBP_1_A-B,0.99,100.0
1QC0_1_B-A,1.0,100.0
1QC0_1_C-D,0.99,100.0
1QCU_1_A-B,1.0,77.78
1QCU_1_C-D,1.0,77.78
1QF6_1_B,0.99,100.0
1QTQ_1_B,0.98,100.0
1QU2_1_T,0.99,100.0
1R3E_1_C,1.0,100.0
1R3E_1_D-E,1.0,100.0
1RLG_1_D,1.0,100.0
1RNA_1_A-B,1.0,100.0
1RPU_1_C-D,1.0,77.78
1S03_1_A,0.98,100.0
1S03_1_B,1.0,100.0
1SA9_1_C-D,1.0,100.0
1SAQ_1_A-B,0.9,100.0
1SDR_1_A-B,1.0,100.0
1SER_1_T,0.76,100.0
1T0E_1_A-C,0.96,100.0
1TFW_1_G-J,1.0,100.0
1TFW_1_H-E,1.0,100.0
1U0B_1_A,0.99,100.0
1U1Y_1_R,1.0,100.0
1U9S_1_A,0.98,100.0
1WNE_1_B-C,1.0,100.0
1XJR_1_A,0.99,100.0
1XOK_1_A,1.0,100.0
1Y26_1_X,1.0,100.0
1Y27_1_X,1.0,100.0
1YFG_1_A,0.99,100.0
1YLS_1_B,1.0,100.0
1YTU_1_E-F,0.89,100.0
1YVP_1_C-D,0.91,100.0
1YYK_1_C-D,1.0,100.0
1YYW_1_I-J,1.0,100.0
1YZ9_1_C-D-E-F,1.0,100.0
1YZD_1_A-B,1.0,100.0
1Z7F_1_B-C,1.0,100.0
1ZBH_1_F,0.97,100.0
1ZCI_1_A-B,1.0,100.0
1ZDJ_1_R,1.0,100.0
1ZH5_1_C-D,1.0,100.0
1ZL3_1_B,1.0,100.0
1ZX7_1_C-E-D-F,0.77,100.0
1ZZ5_1_A-C-B-D,0.77,100.0
205D_1_A-B,1.0,100.0
246D_1_A-B,0.86,100.0
280D_1_A-B,1.0,100.0
2A0P_1_A-B,1.0,100.0
2A43_1_A,1.0,100.0
2AKE_1_B,0.86,100.0
2ANN_1_B,1.0,100.0
2AO5_1_C-D,1.0,100.0
2AZ0_1_C-D,1.0,100.0
2AZX_1_D,0.93,100.0
2B3J_1_E,1.0,100.0
2B3J_1_G,1.0,41.67
2BGG_1_P-Q,1.0,100.0
2BH2_1_D,0.95,100.0
2BTE_1_B,0.94,100.0
2C4Q_1_R,1.0,100.0
2CSX_1_C,0.97,100.0
2DLC_1_Y,0.97,100.0
2DRA_1_B,1.0,100.0
2DU3_1_D,0.96,100.0
2E9R_1_A-B,0.92,100.0
2E9T_1_B-C,0.98,100.0
2E9Z_1_B-C,0.87,100.0
2EC0_1_B-C,1.0,100.0
2ET8_1_A-B,1.0,100.0
2F8K_1_B,0.98,100.0
2F8S_1_C-D,0.9,100.0
2G3S_1_I-J,1.0,100.0
2G91_1_A-B,1.0,100.0
2G92_1_A-B,0.99,100.0
2GJW_1_I-J-L,0.91,100.0
2GXB_1_E-F,0.98,77.78
2H1M_1_A-B,1.0,100.0
2HVY_1_E,0.99,100.0
2HW8_1_B,1.0,100.0
2I82_1_F,0.95,100.0
2I91_1_F-E,0.83,100.0
2IZN_1_R,1.0,100.0
2JLT_1_A,0.98,100.0
2NUE_1_C,1.0,100.0
2NUG_1_E-F-C-D,0.76,100.0
2O3V_1_A-B,1.0,100.0
2O3X_1_A-B,1.0,100.0
2O3Y_1_A-B,1.0,100.0
2OE5_1_B-A,1.0,100.0
2OE8_1_B-A,1.0,100.0
2OEU_1_A,0.98,100.0
2OIU_1_P,0.97,100.0
2OIU_1_Q,0.99,100.0
2OZB_1_C,1.0,100.0
2P7E_1_D-C-P,0.9,100.0
2PJP_1_B,0.99,100.0
2PN3_1_A-B,0.99,100.0
2Q1O_1_C-D,1.0,100.0
2QUS_1_A,0.99,100.0
2QUW_1_B,0.98,100.0
2QUX_1_F,1.0,100.0
2QWY_1_C,1.0,100.0
2R1S_1_A-B,1.0,100.0
2R8S_1_R,1.0,100.0
2RFK_1_E-D-F,0.84,100.0
2UWM_1_D,1.0,100.0
2UXC_1_X-Y,0.93,100.0
2V6W_1_A-B,1.0,100.0
2V7R_1_A-B,1.0,100.0
2VAL_1_A-C,1.0,100.0
2VPL_1_B,0.98,100.0
2VUQ_1_A-B,1.0,100.0
2W89_1_A-B,0.98,100.0
2XDB_1_G,1.0,100.0
2XLK_1_C,0.9,100.0
