name,barnaba,clarna,dssr,fred,maxit,metbp,mc,rnapolis,rnaview
1A9N_1_Q,1,1,1,1,1,1,1,1,1
1B23_1_R,11,4,6,2,2,2,8,7,4
1B7F_1_P,1,0,0,1,0,0,0,2,0
1B7F_1_Q,1,1,0,1,0,0,1,1,0
1CSL_1_B-A,3,2,3,2,2,2,2,2,1
1D4R_1_B-A,8,4,6,3,0,4,7,6,6
1DFU_1_M-N,8,4,5,4,4,4,7,5,5
1DUH_1_A,1,0,0,0,0,0,0,1,0
1DUQ_1_B-A,2,2,2,2,2,2,2,2,1
1E7K_1_C,5,2,2,2,2,2,2,3,2
1EC6_1_C,2,2,2,1,0,1,2,2,0
1EC6_1_D,1,0,1,0,0,0,0,1,0
1ET4_1_A,10,5,5,3,1,4,6,6,4
1F1T_1_A,7,4,4,3,0,3,3,5,3
1F7U_1_B,6,4,6,4,2,4,3,6,4
1FEU_1_C-B,7,4,6,4,4,4,6,5,5
1FUF_1_A-B,3,2,2,2,0,2,2,2,2
1FXL_1_B,1,1,0,1,0,0,1,0,0
1G1X_1_D-E,13,8,9,6,5,5,8,7,8
1G1X_1_J-I,10,8,9,5,4,4,7,7,9
1G2E_1_B,1,1,0,1,0,0,1,0,0
1GAX_1_D,14,6,9,9,4,6,9,10,8
1H3E_1_B,13,7,12,7,4,7,6,11,7
1H4S_1_T,10,5,9,5,3,5,7,9,4
1HMH_1_A,5,4,4,4,3,5,3,5,4
1HMH_1_E,5,4,4,3,2,3,3,6,4
1HYS_1_E,0,0,0,0,0,0,0,1,0
1I6U_1_C,8,3,3,4,0,2,1,2,2
1I9X_1_A-B,1,0,1,0,0,0,0,0,0
1ICG_1_A-B,2,0,2,2,0,0,2,0,0
1IHA_1_A-B,2,0,2,2,0,0,2,0,0
1IL2_1_C,10,7,9,7,2,7,7,10,6
1J1U_1_B,15,10,12,9,4,8,10,14,8
1J9H_1_A-B,2,2,3,2,0,2,2,2,2
1JBR_1_C-F,6,5,6,5,3,4,5,6,4
1JID_1_B,2,2,2,2,0,2,2,2,2
1JZV_1_B-A,0,0,0,0,0,0,0,1,0
1KD4_1_A-B,3,2,2,4,2,2,2,2,2
1KD5_1_A-B,4,4,3,4,2,2,3,4,2
1KH6_1_A,3,2,3,1,0,2,2,3,3
1KUQ_1_B,10,4,7,4,2,3,5,3,4
1KXK_1_A,8,5,7,4,4,6,7,5,5
1L2X_1_A,8,5,5,5,0,5,3,5,5
1L9A_1_B,35,15,20,7,5,6,16,14,15
1LNT_1_A-B,5,5,3,4,2,2,3,5,5
1M5K_1_B,21,6,12,6,4,7,9,8,6
1M8V_1_P,0,0,0,0,0,0,0,1,0
1MFQ_1_A,28,12,17,11,5,10,14,17,19
1MHK_1_L-S,4,4,3,2,1,1,2,3,3
1MJI_1_D,7,5,6,5,0,5,3,4,3
1MMS_1_C,15,9,13,10,5,11,10,19,7
1MZP_1_B,15,11,11,8,5,10,9,10,10
1N32_1_Y-Z,5,0,0,0,0,0,0,1,2
1N35_1_C-B,4,0,0,0,0,0,1,0,0
1N38_1_C-B,1,0,0,0,0,0,0,0,0
1N78_1_C,22,9,12,8,4,8,9,12,8
1NTA_1_A-B,8,2,4,2,0,2,3,5,3
1NUV_1_A-B,1,1,1,0,0,0,1,1,1
1NUV_1_E-F,1,1,1,0,0,0,1,1,1
1OOA_1_C,5,2,3,0,2,2,3,2,2
1Q96_1_A,7,6,6,6,4,5,6,7,6
1QBP_1_A-B,3,2,2,1,0,0,2,0,0
1QF6_1_B,11,7,8,7,3,7,7,9,5
1QTQ_1_B,18,10,13,11,3,8,9,16,9
1QU2_1_T,12,10,11,10,4,9,9,12,9
1R3E_1_C,1,1,1,1,1,1,1,2,1
1R3E_1_D-E,0,0,0,0,0,0,0,1,0
1RLG_1_D,5,3,3,3,3,3,2,3,4
1RPU_1_C-D,2,2,1,0,1,0,0,0,0
1S03_1_A,7,2,4,3,1,0,2,2,1
1S03_1_B,8,2,5,3,0,0,3,2,2
1S76_1_R,1,0,0,0,0,0,0,0,0
1SA9_1_C-D,2,2,2,1,1,1,2,2,2
1SAQ_1_A-B,2,2,2,2,4,4,2,2,4
1SDS_1_D,1,0,0,0,0,0,0,1,0
1SER_1_T,8,5,5,4,3,6,4,7,4
1T0E_1_A-C,1,1,1,1,1,2,1,1,1
1TFW_1_G-J,2,0,2,1,1,0,0,1,1
1U0B_1_A,15,8,12,9,4,8,11,13,11
1U1Y_1_R,1,1,1,1,1,1,1,1,1
1U9S_1_A,45,18,28,17,4,18,13,22,11
1UVN_1_F,0,0,0,0,0,0,0,1,0
1WNE_1_B-C,3,0,1,0,0,0,0,0,0
1WPU_1_C,0,1,0,0,0,0,0,0,1
1XJR_1_A,8,7,7,5,2,5,5,7,7
1XOK_1_A,1,1,1,1,1,1,1,1,0
1Y26_1_X,17,8,11,9,2,8,7,9,6
1Y27_1_X,18,10,12,11,2,10,10,11,7
1YFG_1_A,11,2,6,3,2,2,2,5,2
1YLS_1_B,5,4,4,3,2,2,2,5,3
1YTU_1_E-F,0,0,0,0,0,0,1,0,1
1YZ9_1_C-D-E-F,2,2,2,0,0,0,2,0,0
1Z7F_1_B-C,2,2,2,2,0,2,2,2,2
1ZBH_1_F,1,0,0,0,0,0,1,1,0
1ZH5_1_C-D,1,0,1,0,0,0,0,0,0
1ZL3_1_B,1,1,1,1,1,1,1,2,1
1ZX7_1_C-E-D-F,5,2,2,2,2,3,3,2,4
1ZZ5_1_A-C-B-D,2,0,2,0,0,0,0,1,0
205D_1_A-B,4,2,2,2,2,2,2,3,2
246D_1_A-B,2,0,0,2,0,2,0,0,0
280D_1_A-B,3,2,2,2,2,2,2,2,2
2A43_1_A,7,5,5,5,0,5,3,7,5
2AKE_1_B,22,3,8,2,1,3,7,8,7
2ANN_1_B,3,2,3,2,2,2,3,3,2
2ASB_1_B,0,1,0,0,0,1,0,2,0
2ATW_1_B,0,0,0,0,0,1,0,1,0
2AZX_1_D,12,9,12,9,4,7,11,13,10
2B3J_1_E,1,1,1,0,0,0,1,1,1
2B3J_1_G,1,0,0,0,0,0,0,0,0
